   xk <= x <   xk+1; y_i      =    65.3599     +       -0.000111722x; type: least-square
 1500 <= x <   1530; y_50     =      1124.0000 +   -0.7000x; interpolation
 1530 <= x <   1560; y_51     =       -49.0000 +    0.0667x; interpolation
 1560 <= x <   1590; y_52     =      -465.0000 +    0.3333x; interpolation
 1590 <= x <   1620; y_53     =      -359.0000 +    0.2667x; interpolation
 1620 <= x <   1650; y_54     =       127.0000 +   -0.0333x; interpolation
 1650 <= x <   1680; y_55     =      1007.0000 +   -0.5667x; interpolation
 1680 <= x <   1710; y_56     =      -841.0000 +    0.5333x; interpolation
 1710 <= x <   1740; y_57     =      1097.0000 +   -0.6000x; interpolation
 1740 <= x <   1770; y_58     =      -179.0000 +    0.1333x; interpolation
 1770 <= x <   1800; y_59     =       234.0000 +   -0.1000x; interpolation
 1800 <= x <   1830; y_60     =      -966.0000 +    0.5667x; interpolation
 1830 <= x <   1860; y_61     =      1047.0000 +   -0.5333x; interpolation
 1860 <= x <   1890; y_62     =        -7.0000 +    0.0333x; interpolation
 1890 <= x <   1920; y_63     =     -1015.0000 +    0.5667x; interpolation
 1920 <= x <   1950; y_64     =      1097.0000 +   -0.5333x; interpolation
 1950 <= x <   1980; y_65     =       252.0000 +   -0.1000x; interpolation
 1980 <= x <   2010; y_66     =      -144.0000 +    0.1000x; interpolation
 2010 <= x <   2040; y_67     =       124.0000 +   -0.0333x; interpolation
 2040 <= x <   2070; y_68     =        56.0000 +    0.0000x; interpolation
 2070 <= x <   2100; y_69     =      -979.0000 +    0.5000x; interpolation
 2100 <= x <   2130; y_70     =       281.0000 +   -0.1000x; interpolation
 2130 <= x <   2160; y_71     =      3121.0000 +   -1.4333x; interpolation
 2160 <= x <   2190; y_72     =       169.0000 +   -0.0667x; interpolation
 2190 <= x <   2220; y_73     =     -3408.0000 +    1.5667x; interpolation
 2220 <= x <   2250; y_74     =      1106.0000 +   -0.4667x; interpolation
 2250 <= x <   2280; y_75     =     -1069.0000 +    0.5000x; interpolation
 2280 <= x <   2310; y_76     =      1135.0000 +   -0.4667x; interpolation
 2310 <= x <   2340; y_77     =     -1021.0000 +    0.4667x; interpolation
 2340 <= x <   2370; y_78     =      -163.0000 +    0.1000x; interpolation
 2370 <= x <   2400; y_79     =      1575.0000 +   -0.6333x; interpolation
 2400 <= x <   2430; y_80     =     -1385.0000 +    0.6000x; interpolation
 2430 <= x <   2460; y_81     =       235.0000 +   -0.0667x; interpolation
 2460 <= x <   2490; y_82     =      1137.0000 +   -0.4333x; interpolation
 2490 <= x <   2520; y_83     =       224.0000 +   -0.0667x; interpolation
 2520 <= x <   2550; y_84     =       -28.0000 +    0.0333x; interpolation
 2550 <= x <   2580; y_85     =     -1303.0000 +    0.5333x; interpolation
 2580 <= x <   2610; y_86     =       245.0000 +   -0.0667x; interpolation
 2610 <= x <   2640; y_87     =      1811.0000 +   -0.6667x; interpolation
 2640 <= x <   2670; y_88     =      -565.0000 +    0.2333x; interpolation
 2670 <= x <   2700; y_89     =     -1277.0000 +    0.5000x; interpolation
 2700 <= x <   2730; y_90     =       253.0000 +   -0.0667x; interpolation
 2730 <= x <   2760; y_91     =        71.0000 +    0.0000x; interpolation
 2760 <= x <   2790; y_92     =       255.0000 +   -0.0667x; interpolation
 2790 <= x <   2820; y_93     =      1371.0000 +   -0.4667x; interpolation
 2820 <= x <   2850; y_94     =      -227.0000 +    0.1000x; interpolation
 2850 <= x <   2880; y_95     =     -1177.0000 +    0.4333x; interpolation
 2880 <= x <   2910; y_96     =      1319.0000 +   -0.4333x; interpolation
 2910 <= x <   2940; y_97     =     -1397.0000 +    0.5000x; interpolation
 2940 <= x <   2970; y_98     =       269.0000 +   -0.0667x; interpolation
 2970 <= x <   3000; y_99     =        71.0000 +    0.0000x; interpolation
 3000 <= x <   3030; y_100    =        71.0000 +    0.0000x; interpolation
 3030 <= x <   3060; y_101    =        71.0000 +    0.0000x; interpolation
 3060 <= x <   3090; y_102    =        71.0000 +    0.0000x; interpolation
 3090 <= x <   3120; y_103    =      -238.0000 +    0.1000x; interpolation
 3120 <= x <   3150; y_104    =       282.0000 +   -0.0667x; interpolation
 3150 <= x <   3180; y_105    =      1647.0000 +   -0.5000x; interpolation
 3180 <= x <   3210; y_106    =     -1427.0000 +    0.4667x; interpolation
 3210 <= x <   3240; y_107    =      1676.0000 +   -0.5000x; interpolation
 3240 <= x <   3270; y_108    =      -160.0000 +    0.0667x; interpolation
 3270 <= x <   3300; y_109    =     -1359.0000 +    0.4333x; interpolation
 3300 <= x <   3330; y_110    =       181.0000 +   -0.0333x; interpolation
 3330 <= x <   3360; y_111    =      -263.0000 +    0.1000x; interpolation
 3360 <= x <   3390; y_112    =       -39.0000 +    0.0333x; interpolation
 3390 <= x <   3420; y_113    =        74.0000 +    0.0000x; interpolation
 3420 <= x <   3450; y_114    =       188.0000 +   -0.0333x; interpolation
 3450 <= x <   3480; y_115    =       188.0000 +   -0.0333x; interpolation
 3480 <= x <   3510; y_116    =      1580.0000 +   -0.4333x; interpolation
 3510 <= x <   3540; y_117    =     -1462.0000 +    0.4333x; interpolation
 3540 <= x <   3570; y_118    =       308.0000 +   -0.0667x; interpolation
 3570 <= x <   3600; y_119    =      -287.0000 +    0.1000x; interpolation
 3600 <= x <   3630; y_120    =       793.0000 +   -0.2000x; interpolation
 3630 <= x <   3660; y_121    =      -780.0000 +    0.2333x; interpolation
 3660 <= x <   3690; y_122    =       684.0000 +   -0.1667x; interpolation
 3690 <= x <   3720; y_123    =      -546.0000 +    0.1667x; interpolation
 3720 <= x <   3750; y_124    =       446.0000 +   -0.1000x; interpolation
 3750 <= x <   3780; y_125    =      1946.0000 +   -0.5000x; interpolation
 3780 <= x <   3810; y_126    =     -2086.0000 +    0.5667x; interpolation
 3810 <= x <   3840; y_127    =        73.0000 +    0.0000x; interpolation
 3840 <= x <   3870; y_128    =       457.0000 +   -0.1000x; interpolation
 3870 <= x <   3900; y_129    =      1876.0000 +   -0.4667x; interpolation
 3900 <= x <   3930; y_130    =       -74.0000 +    0.0333x; interpolation
 3930 <= x <   3960; y_131    =     -2039.0000 +    0.5333x; interpolation
 3960 <= x <   3990; y_132    =       469.0000 +   -0.1000x; interpolation
 3990 <= x <   4020; y_133    =      2065.0000 +   -0.5000x; interpolation
 4020 <= x <   4050; y_134    =      -213.0000 +    0.0667x; interpolation
 4050 <= x <   4080; y_135    =     -1698.0000 +    0.4333x; interpolation
 4080 <= x <   4110; y_136    =       206.0000 +   -0.0333x; interpolation
 4110 <= x <   4140; y_137    =      1713.0000 +   -0.4000x; interpolation
 4140 <= x <   4170; y_138    =     -2151.0000 +    0.5333x; interpolation
 4170 <= x <   4200; y_139    =       629.0000 +   -0.1333x; interpolation
 4200 <= x <   4230; y_140    =      2169.0000 +   -0.5000x; interpolation
 4230 <= x <   4260; y_141    =     -2625.0000 +    0.6333x; interpolation
 4260 <= x <   4290; y_142    =        73.0000 +    0.0000x; interpolation
 4290 <= x <   4320; y_143    =      2790.0000 +   -0.6333x; interpolation
 4320 <= x <   4350; y_144    =      -378.0000 +    0.1000x; interpolation
 4350 <= x <   4380; y_145    =     -2408.0000 +    0.5667x; interpolation
 4380 <= x <   4410; y_146    =      3140.0000 +   -0.7000x; interpolation
 4410 <= x <   4440; y_147    =      4316.0000 +   -0.9667x; interpolation
 4440 <= x <   4470; y_148    =     -4860.0000 +    1.1000x; interpolation
 4470 <= x <   4500; y_149    =       504.0000 +   -0.1000x; interpolation
 4500 <= x <   4530; y_150    =     -2046.0000 +    0.4667x; interpolation
 4530 <= x <   4560; y_151    =      -687.0000 +    0.1667x; interpolation
 4560 <= x <   4590; y_152    =       833.0000 +   -0.1667x; interpolation
 4590 <= x <   4620; y_153    =      -544.0000 +    0.1333x; interpolation
 4620 <= x <   4650; y_154    =       688.0000 +   -0.1333x; interpolation
 4650 <= x <   4680; y_155    =      -707.0000 +    0.1667x; interpolation
 4680 <= x <   4710; y_156    =       697.0000 +   -0.1333x; interpolation
 4710 <= x <   4740; y_157    =      -716.0000 +    0.1667x; interpolation
 4740 <= x <   4770; y_158    =       390.0000 +   -0.0667x; interpolation
 4770 <= x <   4800; y_159    =      2775.0000 +   -0.5667x; interpolation
 4800 <= x <   4830; y_160    =     -2825.0000 +    0.6000x; interpolation
 4830 <= x <   4860; y_161    =      2971.0000 +   -0.6000x; interpolation
 4860 <= x <   4890; y_162    =     -2213.0000 +    0.4667x; interpolation
 4890 <= x <   4920; y_163    =      2351.0000 +   -0.4667x; interpolation
 4920 <= x <   4950; y_164    =     -2569.0000 +    0.5333x; interpolation
 4950 <= x <   4980; y_165    =      2711.0000 +   -0.5333x; interpolation
 4980 <= x <   5010; y_166    =      -941.0000 +    0.2000x; interpolation
 5010 <= x <   5040; y_167    =     -1609.0000 +    0.3333x; interpolation
 5040 <= x <   5070; y_168    =      1919.0000 +   -0.3667x; interpolation
 5070 <= x <   5100; y_169    =     -2137.0000 +    0.4333x; interpolation
 5100 <= x <   5130; y_170    =      1093.0000 +   -0.2000x; interpolation
 5130 <= x <   5160; y_171    =      2119.0000 +   -0.4000x; interpolation
 5160 <= x <   5190; y_172    =     -3041.0000 +    0.6000x; interpolation
 5190 <= x <   5220; y_173    =      3014.0000 +   -0.5667x; interpolation
 5220 <= x <   5250; y_174    =       230.0000 +   -0.0333x; interpolation
 5250 <= x <   5280; y_175    =        55.0000 +    0.0000x; interpolation
 5280 <= x <   5310; y_176    =      -825.0000 +    0.1667x; interpolation
 5310 <= x <   5340; y_177    =     -2241.0000 +    0.4333x; interpolation
 5340 <= x <   5370; y_178    =      2031.0000 +   -0.3667x; interpolation
 5370 <= x <   5400; y_179    =     -1728.0000 +    0.3333x; interpolation
 5400 <= x <   5430; y_180    =      2052.0000 +   -0.3667x; interpolation
 5430 <= x <   5460; y_181    =     -1749.0000 +    0.3333x; interpolation
 5460 <= x <   5490; y_182    =      1527.0000 +   -0.2667x; interpolation
 5490 <= x <   5520; y_183    =      1527.0000 +   -0.2667x; interpolation
 5520 <= x <   5550; y_184    =     -3257.0000 +    0.6000x; interpolation
 5550 <= x <   5580; y_185    =      2848.0000 +   -0.5000x; interpolation
 5580 <= x <   5610; y_186    =     -2360.0000 +    0.4333x; interpolation
 5610 <= x <   5640; y_187    =      3063.0000 +   -0.5333x; interpolation
 5640 <= x <   5670; y_188    =     -3329.0000 +    0.6000x; interpolation
 5670 <= x <   5700; y_189    =       640.0000 +   -0.1000x; interpolation
 5700 <= x <   5730; y_190    =      3300.0000 +   -0.5667x; interpolation
 5730 <= x <   5760; y_191    =     -3958.0000 +    0.7000x; interpolation
 5760 <= x <   5790; y_192    =      3722.0000 +   -0.6333x; interpolation
 5790 <= x <   5820; y_193    =     -3612.0000 +    0.6333x; interpolation
 5820 <= x <   5850; y_194    =      3954.0000 +   -0.6667x; interpolation
 5850 <= x <   5880; y_195    =     -3846.0000 +    0.6667x; interpolation
 5880 <= x <   5910; y_196    =      3994.0000 +   -0.6667x; interpolation
 5910 <= x <   5940; y_197    =     -3492.0000 +    0.6000x; interpolation
 5940 <= x <   5970; y_198    =      -126.0000 +    0.0333x; interpolation
 5970 <= x <   6000; y_199    =       471.0000 +   -0.0667x; interpolation
 6000 <= x <   6030; y_200    =      3271.0000 +   -0.5333x; interpolation
 6030 <= x <   6060; y_201    =     -3563.0000 +    0.6000x; interpolation
 6060 <= x <   6090; y_202    =      3911.0000 +   -0.6333x; interpolation
 6090 <= x <   6120; y_203    =     -3397.0000 +    0.5667x; interpolation
 6120 <= x <   6150; y_204    =        71.0000 +    0.0000x; interpolation
 6150 <= x <   6180; y_205    =        71.0000 +    0.0000x; interpolation
 6180 <= x <   6210; y_206    =      -547.0000 +    0.1000x; interpolation
 6210 <= x <   6240; y_207    =      4007.0000 +   -0.6333x; interpolation
 6240 <= x <   6270; y_208    =     -3481.0000 +    0.5667x; interpolation
 6270 <= x <   6300; y_209    =      3416.0000 +   -0.5333x; interpolation
 6300 <= x <   6330; y_210    =     -2884.0000 +    0.4667x; interpolation
 6330 <= x <   6360; y_211    =      3235.0000 +   -0.5000x; interpolation
 6360 <= x <   6390; y_212    =     -3549.0000 +    0.5667x; interpolation
 6390 <= x <   6420; y_213    =      -141.0000 +    0.0333x; interpolation
 6420 <= x <   6450; y_214    =       501.0000 +   -0.0667x; interpolation
 6450 <= x <   6480; y_215    =       501.0000 +   -0.0667x; interpolation
 6480 <= x <   6510; y_216    =      3093.0000 +   -0.4667x; interpolation
 6510 <= x <   6540; y_217    =     -3851.0000 +    0.6000x; interpolation
 6540 <= x <   6570; y_218    =      3997.0000 +   -0.6000x; interpolation
 6570 <= x <   6600; y_219    =     -3668.0000 +    0.5667x; interpolation
 6600 <= x <   6630; y_220    =      3812.0000 +   -0.5667x; interpolation
 6630 <= x <   6660; y_221    =      -166.0000 +    0.0333x; interpolation
 6660 <= x <   6690; y_222    =     -3718.0000 +    0.5667x; interpolation
 6690 <= x <   6720; y_223    =       742.0000 +   -0.1000x; interpolation
 6720 <= x <   6750; y_224    =      3430.0000 +   -0.5000x; interpolation
 6750 <= x <   6780; y_225    =       280.0000 +   -0.0333x; interpolation
 6780 <= x <   6810; y_226    =      5704.0000 +   -0.8333x; interpolation
 6810 <= x <   6840; y_227    =       710.0000 +   -0.1000x; interpolation
 6840 <= x <   6870; y_228    =     -9094.0000 +    1.3333x; interpolation
 6870 <= x <   6900; y_229    =      -621.0000 +    0.1000x; interpolation
 6900 <= x <   6930; y_230    =      -621.0000 +    0.1000x; interpolation
 6930 <= x <   6960; y_231    =       303.0000 +   -0.0333x; interpolation
 6960 <= x <   6990; y_232    =       303.0000 +   -0.0333x; interpolation
 6990 <= x <   7020; y_233    =       303.0000 +   -0.0333x; interpolation
 7020 <= x <   7050; y_234    =      2175.0000 +   -0.3000x; interpolation
 7050 <= x <   7080; y_235    =     -1350.0000 +    0.2000x; interpolation
 7080 <= x <   7110; y_236    =     -1586.0000 +    0.2333x; interpolation
 7110 <= x <   7140; y_237    =      3865.0000 +   -0.5333x; interpolation
 7140 <= x <   7170; y_238    =     -3989.0000 +    0.5667x; interpolation
 7170 <= x <   7200; y_239    =       791.0000 +   -0.1000x; interpolation
 7200 <= x <   7230; y_240    =       551.0000 +   -0.0667x; interpolation
 7230 <= x <   7260; y_241    =      -895.0000 +    0.1333x; interpolation
 7260 <= x <   7290; y_242    =      4429.0000 +   -0.6000x; interpolation
 7290 <= x <   7320; y_243    =     -1403.0000 +    0.2000x; interpolation
 7320 <= x <   7350; y_244    =      1525.0000 +   -0.2000x; interpolation
 7350 <= x <   7380; y_245    =      -435.0000 +    0.0667x; interpolation
 7380 <= x <   7410; y_246    =     -3141.0000 +    0.4333x; interpolation
 7410 <= x <   7440; y_247    =      3775.0000 +   -0.5000x; interpolation
 7440 <= x <   7470; y_248    =     -4409.0000 +    0.6000x; interpolation
 7470 <= x <   7500; y_249    =       820.0000 +   -0.1000x; interpolation
 7500 <= x <   7530; y_250    =        70.0000 +    0.0000x; interpolation
 7530 <= x <   7560; y_251    =        70.0000 +    0.0000x; interpolation
 7560 <= x <   7590; y_252    =      3850.0000 +   -0.5000x; interpolation
 7590 <= x <   7620; y_253    =      -198.0000 +    0.0333x; interpolation
 7620 <= x <   7650; y_254    =     -4262.0000 +    0.5667x; interpolation
 7650 <= x <   7680; y_255    =       583.0000 +   -0.0667x; interpolation
 7680 <= x <   7710; y_256    =        71.0000 +    0.0000x; interpolation
 7710 <= x <   7740; y_257    =      -443.0000 +    0.0667x; interpolation
 7740 <= x <   7770; y_258    =      4975.0000 +   -0.6333x; interpolation
 7770 <= x <   7800; y_259    =      -464.0000 +    0.0667x; interpolation
 7800 <= x <   7830; y_260    =     -4104.0000 +    0.5333x; interpolation
 7830 <= x <   7860; y_261    =      3987.0000 +   -0.5000x; interpolation
 7860 <= x <   7890; y_262    =     -4397.0000 +    0.5667x; interpolation
 7890 <= x <   7920; y_263    =        74.0000 +    0.0000x; interpolation
 7920 <= x <   7950; y_264    =       866.0000 +   -0.1000x; interpolation
 7950 <= x <   7980; y_265    =        71.0000 +    0.0000x; interpolation
 7980 <= x <   8010; y_266    =      4327.0000 +   -0.5333x; interpolation
 8010 <= x <   8040; y_267    =     -3950.0000 +    0.5000x; interpolation
 8040 <= x <   8070; y_268    =      4626.0000 +   -0.5667x; interpolation
 8070 <= x <   8100; y_269    =     -5058.0000 +    0.6333x; interpolation
 8100 <= x <   8130; y_270    =      4122.0000 +   -0.5000x; interpolation
 8130 <= x <   8160; y_271    =      -485.0000 +    0.0667x; interpolation
 8160 <= x <   8190; y_272    =      1147.0000 +   -0.1333x; interpolation
 8190 <= x <   8220; y_273    =     -5132.0000 +    0.6333x; interpolation
 8220 <= x <   8250; y_274    =       622.0000 +   -0.0667x; interpolation
 8250 <= x <   8280; y_275    =      3922.0000 +   -0.4667x; interpolation
 8280 <= x <   8310; y_276    =     -4082.0000 +    0.5000x; interpolation
 8310 <= x <   8340; y_277    =      4505.0000 +   -0.5333x; interpolation
 8340 <= x <   8370; y_278    =     -4391.0000 +    0.5333x; interpolation
 8370 <= x <   8400; y_279    =       910.0000 +   -0.1000x; interpolation
 8400 <= x <   8430; y_280    =      4270.0000 +   -0.5000x; interpolation
 8430 <= x <   8460; y_281    =     -5003.0000 +    0.6000x; interpolation
 8460 <= x <   8490; y_282    =      2611.0000 +   -0.3000x; interpolation
 8490 <= x <   8520; y_283    =      3743.0000 +   -0.4333x; interpolation
 8520 <= x <   8550; y_284    =     -1369.0000 +    0.1667x; interpolation
 8550 <= x <   8580; y_285    =     -4219.0000 +    0.5000x; interpolation
 8580 <= x <   8610; y_286    =      4647.0000 +   -0.5333x; interpolation
 8610 <= x <   8640; y_287    =     -4824.0000 +    0.5667x; interpolation
 8640 <= x <   8670; y_288    =      3816.0000 +   -0.4333x; interpolation
 8670 <= x <   8700; y_289    =     -3987.0000 +    0.4667x; interpolation
 8700 <= x <   8730; y_290    =      6743.0000 +   -0.7667x; interpolation
 8730 <= x <   8760; y_291    =     -6061.0000 +    0.7000x; interpolation
 8760 <= x <   8790; y_292    =      4743.0000 +   -0.5333x; interpolation
 8790 <= x <   8820; y_293    =      -824.0000 +    0.1000x; interpolation
 8820 <= x <   8850; y_294    =     -3176.0000 +    0.3667x; interpolation
 8850 <= x <   8880; y_295    =     -1111.0000 +    0.1333x; interpolation
 8880 <= x <   8910; y_296    =      -223.0000 +    0.0333x; interpolation
 8910 <= x <   8940; y_297    =      1262.0000 +   -0.1333x; interpolation
 8940 <= x <   8970; y_298    =     -1122.0000 +    0.1333x; interpolation
 8970 <= x <   9000; y_299    =      5456.0000 +   -0.6000x; interpolation
 9000 <= x <   9030; y_300    =      1256.0000 +   -0.1333x; interpolation
 9030 <= x <   9060; y_301    =     -5667.0000 +    0.6333x; interpolation
 9060 <= x <   9090; y_302    =      3997.0000 +   -0.4333x; interpolation
 9090 <= x <   9120; y_303    =     -4184.0000 +    0.4667x; interpolation
 9120 <= x <   9150; y_304    =      3720.0000 +   -0.4000x; interpolation
 9150 <= x <   9180; y_305    =      2195.0000 +   -0.2333x; interpolation
 9180 <= x <   9210; y_306    =      6479.0000 +   -0.7000x; interpolation
 9210 <= x <   9240; y_307    =      1874.0000 +   -0.2000x; interpolation
 9240 <= x <   9270; y_308    =     -9522.0000 +    1.0333x; interpolation
 9270 <= x <   9300; y_309    =     -4269.0000 +    0.4667x; interpolation
 9300 <= x <   9330; y_310    =      4101.0000 +   -0.4333x; interpolation
 9330 <= x <   9360; y_311    =     -2119.0000 +    0.2333x; interpolation
 9360 <= x <   9390; y_312    =      1937.0000 +   -0.2000x; interpolation
 9390 <= x <   9420; y_313    =     -4323.0000 +    0.4667x; interpolation
 9420 <= x <   9450; y_314    =      1957.0000 +   -0.2000x; interpolation
 9450 <= x <   9480; y_315    =     -1823.0000 +    0.2000x; interpolation
 9480 <= x <   9510; y_316    =      2917.0000 +   -0.3000x; interpolation
 9510 <= x <   9540; y_317    =      2917.0000 +   -0.3000x; interpolation
 9540 <= x <   9570; y_318    =     -1853.0000 +    0.2000x; interpolation
 9570 <= x <   9600; y_319    =     -3129.0000 +    0.3333x; interpolation
 9600 <= x <   9630; y_320    =      1671.0000 +   -0.1667x; interpolation
 9630 <= x <   9660; y_321    =     -2502.0000 +    0.2667x; interpolation
 9660 <= x <   9690; y_322    =      3616.0000 +   -0.3667x; interpolation
 9690 <= x <   9720; y_323    =      2647.0000 +   -0.2667x; interpolation
 9720 <= x <   9750; y_324    =     -5453.0000 +    0.5667x; interpolation
 9750 <= x <   9780; y_325    =      5597.0000 +   -0.5667x; interpolation
 9780 <= x <   9810; y_326    =     -5813.0000 +    0.6000x; interpolation
 9810 <= x <   9840; y_327    =       400.0000 +   -0.0333x; interpolation
 9840 <= x <   9870; y_328    =      3024.0000 +   -0.3000x; interpolation
 9870 <= x <   9900; y_329    =     -2569.0000 +    0.2667x; interpolation
 9900 <= x <   9930; y_330    =       731.0000 +   -0.0667x; interpolation
 9930 <= x <   9960; y_331    =      -262.0000 +    0.0333x; interpolation
 9960 <= x <   9990; y_332    =     -1258.0000 +    0.1333x; interpolation
 9990 <= x <  10020; y_333    =       407.0000 +   -0.0333x; interpolation
10020 <= x <  10050; y_334    =      6085.0000 +   -0.6000x; interpolation
10050 <= x <  10080; y_335    =     -6310.0000 +    0.6333x; interpolation
10080 <= x <  10110; y_336    =      6458.0000 +   -0.6333x; interpolation
10110 <= x <  10140; y_337    =      -282.0000 +    0.0333x; interpolation
10140 <= x <  10170; y_338    =      -620.0000 +    0.0667x; interpolation
10170 <= x <  10200; y_339    =      1075.0000 +   -0.1000x; interpolation
10200 <= x <  10230; y_340    =     -6065.0000 +    0.6000x; interpolation
10230 <= x <  10260; y_341    =      5870.0000 +   -0.5667x; interpolation
10260 <= x <  10290; y_342    =     -5416.0000 +    0.5333x; interpolation
10290 <= x <  10320; y_343    =       415.0000 +   -0.0333x; interpolation
10320 <= x <  10350; y_344    =       415.0000 +   -0.0333x; interpolation
10350 <= x <  10380; y_345    =      4555.0000 +   -0.4333x; interpolation
10380 <= x <  10410; y_346    =     -4095.0000 +    0.4000x; interpolation
10410 <= x <  10440; y_347    =      4580.0000 +   -0.4333x; interpolation
10440 <= x <  10470; y_348    =     -2728.0000 +    0.2667x; interpolation
10470 <= x <  10500; y_349    =      2507.0000 +   -0.2333x; interpolation
10500 <= x <  10530; y_350    =     -4493.0000 +    0.4333x; interpolation
10530 <= x <  10560; y_351    =      -281.0000 +    0.0333x; interpolation
10560 <= x <  10590; y_352    =       423.0000 +   -0.0333x; interpolation
10590 <= x <  10620; y_353    =        70.0000 +    0.0000x; interpolation
10620 <= x <  10650; y_354    =      -992.0000 +    0.1000x; interpolation
10650 <= x <  10680; y_355    =      1493.0000 +   -0.1333x; interpolation
10680 <= x <  10710; y_356    =      5409.0000 +   -0.5000x; interpolation
10710 <= x <  10740; y_357    =     -6015.0000 +    0.5667x; interpolation
10740 <= x <  10770; y_358    =      5799.0000 +   -0.5333x; interpolation
10770 <= x <  10800; y_359    =     -6407.0000 +    0.6000x; interpolation
10800 <= x <  10830; y_360    =      7633.0000 +   -0.7000x; interpolation
10830 <= x <  10860; y_361    =     -1031.0000 +    0.1000x; interpolation
10860 <= x <  10890; y_362    =     -5737.0000 +    0.5333x; interpolation
10890 <= x <  10920; y_363    =        71.0000 +    0.0000x; interpolation
10920 <= x <  10950; y_364    =      -657.0000 +    0.0667x; interpolation
10950 <= x <  10980; y_365    =      1168.0000 +   -0.1000x; interpolation
10980 <= x <  11010; y_366    =     -1028.0000 +    0.1000x; interpolation
11010 <= x <  11040; y_367    =      6679.0000 +   -0.6000x; interpolation
11040 <= x <  11070; y_368    =     -6569.0000 +    0.6000x; interpolation
11070 <= x <  11100; y_369    =      6346.0000 +   -0.5667x; interpolation
11100 <= x <  11130; y_370    =     -5864.0000 +    0.5333x; interpolation
11130 <= x <  11160; y_371    =      6379.0000 +   -0.5667x; interpolation
11160 <= x <  11190; y_372    =      -317.0000 +    0.0333x; interpolation
11190 <= x <  11220; y_373    =     -5539.0000 +    0.5000x; interpolation
